time,open,high,low,close,Volume
2024-05-08T07:45:00Z,18207.25,18207.75,18198.75,18201,1051
2024-05-08T08:00:00Z,18201.5,18206.75,18192.5,18205,2628
2024-05-08T08:15:00Z,18205,18216.75,18202,18211.25,1370
2024-05-08T08:30:00Z,18211.5,18212.25,18196.25,18197,1429
2024-05-08T08:45:00Z,18196.75,18200.5,18190.5,18192.5,1302
2024-05-08T09:00:00Z,18192.25,18199.75,18190,18197,911
2024-05-08T09:15:00Z,18196.75,18198,18188,18190.5,1252
2024-05-08T09:30:00Z,18190,18199.25,18188.5,18198,810
2024-05-08T09:45:00Z,18198.25,18203,18192.5,18194,883
2024-05-08T10:00:00Z,18194.25,18195.75,18181.75,18187.25,2101
2024-05-08T10:15:00Z,18186.75,18200,18183.75,18196,962
2024-05-08T10:30:00Z,18196,18198.25,18179.75,18188.75,1375
2024-05-08T10:45:00Z,18188.25,18193.75,18181.25,18181.75,1448
2024-05-08T11:00:00Z,18182.25,18185,18160.25,18168,3989
2024-05-08T11:15:00Z,18168.25,18169.5,18158,18158.5,1812
2024-05-08T11:30:00Z,18159,18163,18147,18161.75,3458
2024-05-08T11:45:00Z,18162.25,18167.75,18149.5,18152.75,3125
2024-05-08T12:00:00Z,18152.5,18152.5,18115.5,18116.25,5980
2024-05-08T12:15:00Z,18116.25,18118,18095.75,18096.75,7637
2024-05-08T12:30:00Z,18097,18103.75,18072.5,18088.25,7707
2024-05-08T12:45:00Z,18088.5,18096,18084,18092.25,4100
2024-05-08T13:00:00Z,18091.75,18097,18083.25,18088.5,3740
2024-05-08T13:15:00Z,18088.75,18095.5,18081.5,18083.25,5391
2024-05-08T13:30:00Z,18084,18126.5,18078.5,18124.25,34012
2024-05-08T13:45:00Z,18124.25,18174.75,18122,18168,29321
2024-05-08T14:00:00Z,18168,18179,18151.5,18158,19266
2024-05-08T14:15:00Z,18158.25,18211,18155.25,18204.5,20272
2024-05-08T14:30:00Z,18204.5,18222,18192.75,18218.75,17192
2024-05-08T14:45:00Z,18218.75,18242.25,18212.25,18218.5,16502
2024-05-08T15:00:00Z,18218.5,18235.25,18190.5,18193.25,16042
2024-05-08T15:15:00Z,18193.25,18193.75,18171.5,18186.25,16375
2024-05-08T15:30:00Z,18186.5,18193,18176.5,18177.5,11105
2024-05-08T15:45:00Z,18177.25,18187,18164.25,18174.5,12430
2024-05-08T16:00:00Z,18174.5,18184.75,18166,18177,7920
2024-05-08T16:15:00Z,18176.5,18191.5,18173,18179,8152
2024-05-08T16:30:00Z,18179.25,18183.25,18155,18166.5,11110
2024-05-08T16:45:00Z,18166.25,18183.5,18162,18168,7260
2024-05-08T17:00:00Z,18168.25,18180.75,18141.75,18164.5,13846
2024-05-08T17:15:00Z,18164.25,18166.25,18138.75,18145.25,10085
2024-05-08T17:30:00Z,18144.75,18167,18141,18165,8159
2024-05-08T17:45:00Z,18165.5,18180,18161.5,18178.75,8046
2024-05-08T18:00:00Z,18179,18189,18171,18186,7749
2024-05-08T18:15:00Z,18186.25,18193.5,18172.5,18186.75,9200
2024-05-08T18:30:00Z,18187,18194,18175,18180.75,7906
2024-05-08T18:45:00Z,18180.5,18186.75,18168.25,18172,6284
2024-05-08T19:00:00Z,18172.75,18173.5,18155.25,18168.75,10083
2024-05-08T19:15:00Z,18168,18188.5,18165.5,18184.25,8074
2024-05-08T19:30:00Z,18184,18193.5,18181.5,18188,8411
2024-05-08T19:45:00Z,18188.25,18201.5,18181,18183,20694
2024-05-08T20:00:00Z,18183.5,18184.5,18161,18161.5,10352
2024-05-08T20:15:00Z,18161.5,18166.25,18156.5,18163.75,1707
